Ticker,Year,Name,CAGR of  Market Cap over 1 Month,CAGR of  P/E over 1 Month,Sharpe:M-1,Tkr & Exch,BEst Target Px:D-1,Tot Assets LF,FCF T12M,Governance,Security_Name,Industry,Country
AAPL US Equity,2018,APPLE INC,-72.6319,-66.5262,-1.7585,AAPL    US,233.583,365724991488,64120999936,7.81,Apple Inc,Communications Equipment,United States
AAPL US Equity,2019,APPLE INC,230.4772,298.5833,18.3724,AAPL    US,253.631,338515984384,58896000000,7.58,Apple Inc,Communications Equipment,United States
AAPL US Equity,2020,APPLE INC,63.5941,75.3781,1.8688,AAPL    US,124.459,323887988736,73364999168,7.35,Apple Inc,Communications Equipment,United States
ABBV US Equity,2014,ABBVIE INC,160.707,160.6317,5.5914,ABBV    US,66.25,29045000192,7837999936,6.44,AbbVie Inc,Large Pharma,United States
ABBV US Equity,2015,ABBVIE INC,417.6948,499.6376,9.9756,ABBV    US,76.143,54832001024,4453999936,6.81,AbbVie Inc,Large Pharma,United States
ABBV US Equity,2016,ABBVIE INC,-76.2941,0,-2.6322,ABBV    US,70.474,67211001856,7640000128,6.97,AbbVie Inc,Large Pharma,United States
ABBV US Equity,2017,ABBVIE INC,37.3109,37.311,1.9621,ABBV    US,96.833,66993999872,6652000000,7.11,AbbVie Inc,Large Pharma,United States
ABBV US Equity,2018,ABBVIE INC,-74.7219,-74.7219,-1.9673,ABBV    US,97.833,61640998912,10824999936,7.12,AbbVie Inc,Large Pharma,United States
ABBV US Equity,2019,ABBVIE INC,185.2932,185.1916,15.5684,ABBV    US,93.182,59441000448,12928999936,6.68,AbbVie Inc,Large Pharma,United States
ABBV US Equity,2020,ABBVIE INC,151.3543,150.2825,5.3575,ABBV    US,110.85,149620998144,15327000064,6.54,AbbVie Inc,Large Pharma,United States
ABC US Equity,2014,AMERISOURCEBERGEN CORP,310.5896,310.59,12.385,ABC     US,90.688,21532182528,1198695968,7.49,AmerisourceBergen Corp,Health Care Supply Chain,United States
ABC US Equity,2015,AMERISOURCEBERGEN CORP,76.0932,NA,4.3058,ABC     US,109.714,27736156160,3688793984,7.8,AmerisourceBergen Corp,Health Care Supply Chain,United States
ABC US Equity,2016,AMERISOURCEBERGEN CORP,-80.1792,0,-1.3862,ABC     US,88,33589686272,2713881008,7.56,AmerisourceBergen Corp,Health Care Supply Chain,United States
ABC US Equity,2017,AMERISOURCEBERGEN CORP,-57.3576,-57.3577,-2.0224,ABC     US,91.636,35316469760,1022610080,7.77,AmerisourceBergen Corp,Health Care Supply Chain,United States
ABC US Equity,2018,AMERISOURCEBERGEN CORP,-57.6931,-57.6932,-1.5688,ABC     US,95.6,37669838848,1074977000,7.84,AmerisourceBergen Corp,Health Care Supply Chain,United States
ABC US Equity,2019,AMERISOURCEBERGEN CORP,46.211,46.211,1.682,ABC     US,96.429,38478536704,2017727008,7.28,AmerisourceBergen Corp,Health Care Supply Chain,United States
ABC US Equity,2020,AMERISOURCEBERGEN CORP,167.0441,167.0441,6.9199,ABC     US,115.467,43947864064,1837363032,NA,AmerisourceBergen Corp,Health Care Supply Chain,United States
ABMD US Equity,2018,ABIOMED INC,-49.9117,-51.9331,-0.8938,ABMD    US,446.6,887164992,147999000,5.69,ABIOMED Inc,Medical Devices,United States
ABMD US Equity,2019,ABIOMED INC,1209.3848,1282.2412,28.5998,ABMD    US,238,1124348032,242627000,5.97,ABIOMED Inc,Medical Devices,United States
ABMD US Equity,2020,ABIOMED INC,43.5173,38.2739,0.9247,ABMD    US,312.4,1327974016,246050000,5.98,ABIOMED Inc,Medical Devices,United States
ABT US Equity,2014,ABBOTT LABORATORIES,46.2815,43.9068,2.4867,ABT     US,46.867,42514001920,2968401984,7.27,Abbott Laboratories,Medical Devices,United States
ABT US Equity,2015,ABBOTT LABORATORIES,391.8555,386.9152,23.2574,ABT     US,50.875,41725001728,2227000000,7.36,Abbott Laboratories,Medical Devices,United States
ABT US Equity,2016,ABBOTT LABORATORIES,-69.0037,0,-2.1949,ABT     US,48.036,39496998912,1811000000,7.05,Abbott Laboratories,Medical Devices,United States
ABT US Equity,2017,ABBOTT LABORATORIES,2.3798,0.2143,0.3424,ABT     US,61.824,72248000512,3991000000,7.22,Abbott Laboratories,Medical Devices,United States
ABT US Equity,2018,ABBOTT LABORATORIES,-8.2536,-9.4463,-0.3185,ABT     US,77.765,71637000192,4903000000,7,Abbott Laboratories,Medical Devices,United States
ABT US Equity,2019,ABBOTT LABORATORIES,17.1187,16.3461,1.1454,ABT     US,93.583,68538998784,3814000064,7.3,Abbott Laboratories,Medical Devices,United States
ABT US Equity,2020,ABBOTT LABORATORIES,142.1577,139.2275,6.0032,ABT     US,117.167,69043003392,4587000000,7.65,Abbott Laboratories,Medical Devices,United States
ACN US Equity,2014,ACCENTURE PLC-CL A,40.788,43.4044,3.9167,ACN     US,86.625,17930452992,3164214992,8.11,Accenture PLC,IT Services,United States
ACN US Equity,2015,ACCENTURE PLC-CL A,66.6571,66.6571,4.7035,ACN     US,106.909,18266058752,3697120032,8.14,Accenture PLC,IT Services,United States
ACN US Equity,2016,ACCENTURE PLC-CL A,-43.2417,0,0.1283,ACN     US,130.04,20609003520,4046597040,7.89,Accenture PLC,IT Services,United States
ACN US Equity,2017,ACCENTURE PLC-CL A,79.66,90.7216,13.1906,ACN     US,144,22689890304,4457119984,7.85,Accenture PLC,IT Services,United States
ACN US Equity,2018,ACCENTURE PLC-CL A,-57.6006,-55.7428,-1.8904,ACN     US,179.154,24449083392,5407190976,7.86,Accenture PLC,IT Services,United States
ACN US Equity,2019,ACCENTURE PLC-CL A,-5.8254,-2.3655,0.0465,ACN     US,201.095,29789880320,6023145024,7.64,Accenture PLC,IT Services,United States
ACN US Equity,2020,ACCENTURE PLC-CL A,116.7615,127.582,5.1536,ACN     US,238.217,37078593536,7616020032,NA,Accenture PLC,IT Services,United States
ADBE US Equity,2014,ADOBE INC,110.9844,110.9845,3.5537,ADBE    US,79.812,10493679616,1056032976,6.47,Adobe Inc,Application Software,United States
ADBE US Equity,2015,ADOBE INC,110.0467,110.0466,4.0403,ADBE    US,91.8,11508395008,1257704960,6.89,Adobe Inc,Application Software,United States
ADBE US Equity,2016,ADOBE INC,-24.1666,0,-1.6455,ADBE    US,120.4,12367440896,1738794016,7.41,Adobe Inc,Application Software,United States
ADBE US Equity,2017,ADOBE INC,725.9094,725.9106,20.0348,ADBE    US,179.214,13906814976,2586163008,7.28,Adobe Inc,Application Software,United States
ADBE US Equity,2018,ADOBE INC,-64.1848,-64.1848,-1.1648,ADBE    US,292.37,15395619840,3512830976,7.7,Adobe Inc,Application Software,United States
ADBE US Equity,2019,ADOBE INC,50.5708,50.5708,2.1105,ADBE    US,317,20054880256,3790460032,8.03,Adobe Inc,Application Software,United States
ADBE US Equity,2020,ADOBE INC,46.0171,46.0171,1.2154,ADBE    US,550.455,22414000128,4911304064,NA,Adobe Inc,Application Software,United States
ADI US Equity,2014,ANALOG DEVICES INC,110.4244,110.4246,3.1363,ADI     US,58.333,8973464576,708384016,6.67,Analog Devices Inc,Semiconductor Devices,United States
ADI US Equity,2015,ANALOG DEVICES INC,160.0347,160.0347,4.4016,ADI     US,68.64,7134701056,820515984,6.54,Analog Devices Inc,Semiconductor Devices,United States
ADI US Equity,2016,ANALOG DEVICES INC,-22.6857,0,-0.784,ADI     US,73.913,7685052928,859906016,6.51,Analog Devices Inc,Semiconductor Devices,United States
ADI US Equity,2017,ANALOG DEVICES INC,77.9924,77.9922,10.1815,ADI     US,96.105,21114994688,778550016,6.61,Analog Devices Inc,Semiconductor Devices,United States
ADI US Equity,2018,ANALOG DEVICES INC,11.1293,11.1292,0.2711,ADI     US,103.905,20548616192,2189646976,6.49,Analog Devices Inc,Semiconductor Devices,United States
ADI US Equity,2019,ANALOG DEVICES INC,-9.3615,-9.3615,-0.3598,ADI     US,117.72,21566650368,1999336032,6.93,Analog Devices Inc,Semiconductor Devices,United States
ADI US Equity,2020,ANALOG DEVICES INC,448.0469,448.0468,15.2126,ADI     US,136.305,21599567872,1806913984,6.48,Analog Devices Inc,Semiconductor Devices,United States
ADM US Equity,2014,ARCHER-DANIELS-MIDLAND CO,-16.209,-13.5141,-0.4029,ADM     US,54.364,41820999680,3921999936,7.44,Archer-Daniels-Midland Co,Agricultural Products Whslrs,United States
ADM US Equity,2015,ARCHER-DANIELS-MIDLAND CO,-47.9466,-33.9407,-1.1093,ADM     US,49.778,40876998656,522000000,6.84,Archer-Daniels-Midland Co,Agricultural Products Whslrs,United States
ADM US Equity,2016,ARCHER-DANIELS-MIDLAND CO,149.152,0,7.3047,ADM     US,47.778,39852998656,1761000064,6.84,Archer-Daniels-Midland Co,Agricultural Products Whslrs,United States
ADM US Equity,2017,ARCHER-DANIELS-MIDLAND CO,-67.9262,-65.6436,-3.6821,ADM     US,41,38968999936,1374000000,7.59,Archer-Daniels-Midland Co,Agricultural Products Whslrs,United States
ADM US Equity,2018,ARCHER-DANIELS-MIDLAND CO,-57.2162,-57.999,-2.4043,ADM     US,53.182,39664001024,-4531999872,7.66,Archer-Daniels-Midland Co,Agricultural Products Whslrs,United States
ADM US Equity,2019,ARCHER-DANIELS-MIDLAND CO,94.8238,95.9407,4.2522,ADM     US,47.833,41804001280,-5595999936,7.3,Archer-Daniels-Midland Co,Agricultural Products Whslrs,United States
ADM US Equity,2020,ARCHER-DANIELS-MIDLAND CO,19.7564,17.8891,0.4684,ADM     US,53.615,44794998784,-4149000064,7.63,Archer-Daniels-Midland Co,Agricultural Products Whslrs,United States
ADP US Equity,2014,AUTOMATIC DATA PROCESSING,367.3499,354.4498,18.1356,ADP     US,77.278,30208100352,1911600032,6.88,Automatic Data Processing Inc,Data & Transaction Processors,United States
ADP US Equity,2015,AUTOMATIC DATA PROCESSING,85.0545,105.2062,6.4422,ADP     US,87.231,34380300288,1442700000,8.44,Automatic Data Processing Inc,Data & Transaction Processors,United States
ADP US Equity,2016,AUTOMATIC DATA PROCESSING,13.6105,0,1.8877,ADP     US,93.385,34337400832,1934900032,8.09,Automatic Data Processing Inc,Data & Transaction Processors,United States
ADP US Equity,2017,AUTOMATIC DATA PROCESSING,-22.158,-20.1656,-1.7756,ADP     US,111.635,35661099008,1776000000,8.35,Automatic Data Processing Inc,Data & Transaction Processors,United States
ADP US Equity,2018,AUTOMATIC DATA PROCESSING,-41.6884,-42.1316,-1.3059,ADP     US,155.211,37416701952,2243699968,8.23,Automatic Data Processing Inc,Data & Transaction Processors,United States
ADP US Equity,2019,AUTOMATIC DATA PROCESSING,0.8475,3.4582,0.1076,ADP     US,177.211,37714698240,2796300032,8.48,Automatic Data Processing Inc,Data & Transaction Processors,United States
ADP US Equity,2020,AUTOMATIC DATA PROCESSING,508.0743,525.5309,18.4506,ADP     US,165,42390102016,2915800000,8.62,Automatic Data Processing Inc,Data & Transaction Processors,United States
ADSK US Equity,2014,AUTODESK INC,22.7076,22.7076,0.7168,ADSK    US,65.571,4703399936,435800000,7.56,Autodesk Inc,Application Software,United States
ADSK US Equity,2015,AUTODESK INC,6420.0235,6420.0223,160.6023,ADSK    US,64.067,5341799936,583200000,7.06,Autodesk Inc,Application Software,United States
ADSK US Equity,2016,AUTODESK INC,-45.1145,NA,-1.1539,ADSK    US,68.333,5047399936,311500000,7.08,Autodesk Inc,Application Software,United States
ADSK US Equity,2017,AUTODESK INC,95.6375,NA,8.792,ADSK    US,123.55,4353999872,-63800000,7.14,Autodesk Inc,Application Software,United States
ADSK US Equity,2018,AUTODESK INC,-76.851,NA,-1.4554,ADSK    US,158.684,3832999936,-6400000,7.48,Autodesk Inc,Application Software,United States
ADSK US Equity,2019,AUTODESK INC,40.8494,40.8493,1.5428,ADSK    US,170.318,4872699904,731400000,7.89,Autodesk Inc,Application Software,United States
ADSK US Equity,2020,AUTODESK INC,356.8161,356.8162,10.9257,ADSK    US,266.579,5747299840,1322700000,8.47,Autodesk Inc,Application Software,United States
AEE US Equity,2014,AMEREN CORPORATION,157.1579,157.1577,6.7803,AEE     US,41.833,21876000768,-219000000,7.62,Ameren Corp,Integrated Electric Utilities,United States
AEE US Equity,2015,AMEREN CORPORATION,6.8867,6.8867,0.3923,AEE     US,45.2,23459000320,-16000000,7.81,Ameren Corp,Integrated Electric Utilities,United States
AEE US Equity,2016,AMEREN CORPORATION,58.3472,0,4.1724,AEE     US,50.6,24134000640,-107000000,7.93,Ameren Corp,Integrated Electric Utilities,United States
AEE US Equity,2017,AMEREN CORPORATION,91.6915,91.6914,12.6416,AEE     US,58.875,25617000448,18000000,8.07,Ameren Corp,Integrated Electric Utilities,United States
AEE US Equity,2018,AMEREN CORPORATION,-0.5244,-0.5244,-0.1527,AEE     US,65.725,26958999552,-738000000,8.03,Ameren Corp,Integrated Electric Utilities,United States
AEE US Equity,2019,AMEREN CORPORATION,-43.2426,-43.2426,-3.3295,AEE     US,81.3,28103000064,-141000000,7.98,Ameren Corp,Integrated Electric Utilities,United States
AEE US Equity,2020,AMEREN CORPORATION,8.2622,8.262,0.4235,AEE     US,87.25,30517000192,-791000000,7.66,Ameren Corp,Integrated Electric Utilities,United States
AEP US Equity,2014,AMERICAN ELECTRIC POWER,198.4045,194.3359,11.7843,AEP     US,57.737,57925001216,1013000000,7.61,American Electric Power Co Inc,Integrated Electric Utilities,United States
AEP US Equity,2015,AMERICAN ELECTRIC POWER,-42.9008,-43.2529,-1.8885,AEP     US,62.421,61098999808,220000000,7.33,American Electric Power Co Inc,Integrated Electric Utilities,United States
AEP US Equity,2016,AMERICAN ELECTRIC POWER,3.0811,0,0.2542,AEP     US,68.412,61441998848,-1093300000,7.38,American Electric Power Co Inc,Integrated Electric Utilities,United States
AEP US Equity,2017,AMERICAN ELECTRIC POWER,43.0058,42.8571,6.2805,AEP     US,74,63964901376,-1021400032,7.38,American Electric Power Co Inc,Integrated Electric Utilities,United States
AEP US Equity,2018,AMERICAN ELECTRIC POWER,50.1295,49.5236,2.496,AEP     US,76.737,67617398784,-1583599904,7.61,American Electric Power Co Inc,Integrated Electric Utilities,United States
AEP US Equity,2019,AMERICAN ELECTRIC POWER,-17.3687,-17.6582,-1.5755,AEP     US,95.941,73900703744,-1429900032,7.71,American Electric Power Co Inc,Integrated Electric Utilities,United States
AEP US Equity,2020,AMERICAN ELECTRIC POWER,39.4461,38.6738,2.2386,AEP     US,96.053,78689296384,-2632200032,7.3,American Electric Power Co Inc,Integrated Electric Utilities,United States
AES US Equity,2014,AES CORP,-70.9337,-65.6299,-1.7635,AES     US,16.278,38983000064,-156000000,8.33,AES Corp/The,Integrated Electric Utilities,United States
AES US Equity,2015,AES CORP,-37.4657,-25.6484,-0.4807,AES     US,12.75,36999999488,-234000000,8.23,AES Corp/The,Integrated Electric Utilities,United States
AES US Equity,2016,AES CORP,61.3263,0,1.4302,AES     US,12.675,37107998720,420000000,7.34,AES Corp/The,Integrated Electric Utilities,United States
AES US Equity,2017,AES CORP,-60.0073,-60.0997,-3.6213,AES     US,12.844,38833999872,229000000,7.48,AES Corp/The,Integrated Electric Utilities,United States
AES US Equity,2018,AES CORP,176.0374,173.1324,7.1844,AES     US,14.95,32489000960,299000000,7.67,AES Corp/The,Integrated Electric Utilities,United States
AES US Equity,2019,AES CORP,195.7514,195.5389,12.1558,AES     US,18.812,33422999552,280000000,8.39,AES Corp/The,Integrated Electric Utilities,United States
AES US Equity,2020,AES CORP,187.333,187.333,7.2966,AES     US,21.111,34267000832,626000000,NA,AES Corp/The,Integrated Electric Utilities,United States
AET US Equity,2014,AETNA INC,101.03,121.4378,4.8356,AET     US,89.444,53025599488,3294200000,7.73,Aetna Inc,Managed Care,United States
AET US Equity,2015,AETNA INC,-12.9687,-13.0035,-0.3026,AET     US,141.471,53478400000,2654200000,7.78,Aetna Inc,Managed Care,United States
AET US Equity,2016,AETNA INC,-59.3107,0,-3.3175,AET     US,133.143,71882596352,5458700096,7.34,Aetna Inc,Managed Care,United States
AET US Equity,2017,AETNA INC,140.391,197.9527,5.2453,AET     US,183.167,57382998016,947900032,NA,Aetna Inc,Managed Care,United States
AET US Equity,2018,AETNA INC,20.3144,20.3145,1.2142,AET     US,205.267,57102999552,551999936,NA,Aetna Inc,Managed Care,United States
AFL US Equity,2014,AFLAC INC,32.7306,41.5156,2.5303,AFL     US,67.118,127252996096,7964999936,6.45,Aflac Inc,Life Insurance,United States
AFL US Equity,2015,AFLAC INC,127.5891,153.7052,10.9688,AFL     US,68.333,117455003648,9845999872,6.37,Aflac Inc,Life Insurance,United States
AFL US Equity,2016,AFLAC INC,-49.0214,0,-2.9681,AFL     US,71.692,144100999168,6126000128,6.86,Aflac Inc,Life Insurance,United States
AFL US Equity,2017,AFLAC INC,30.0226,38.3548,5.1492000000000004,AFL     US,82.667,136082997248,6463000064,7.02,Aflac Inc,Life Insurance,United States
AFL US Equity,2018,AFLAC INC,-51.8196,-46.8968,-2.0627,AFL     US,45.909,137940992000,6190999936,7.43,Aflac Inc,Life Insurance,United States
AFL US Equity,2019,AFLAC INC,27.0052,39.7329,3.4549,AFL     US,52.154,154137001984,5618000064,7.53,Aflac Inc,Life Insurance,United States
AFL US Equity,2020,AFLAC INC,-27.6153,-13.8449,-0.4359,AFL     US,42.273,160955006976,5793000064,NA,Aflac Inc,Life Insurance,United States
AGN US Equity,2014,ALLERGAN LTD/IRELAND,40.7665,35.8422,1.2013,AGN     US,272.15,53467398144,1848500000,7.32,Allergan Ltd/Ireland,Specialty & Generic Pharma,United States
AGN US Equity,2015,ALLERGAN LTD/IRELAND,229.261,224.4841,5.1742,AGN     US,360.667,142816296960,3370899968,7.86,Allergan Ltd/Ireland,Specialty & Generic Pharma,United States
AGN US Equity,2016,ALLERGAN LTD/IRELAND,-95.7507,0,-2.631,AGN     US,271.722,143607693312,2709400064,7.85,Allergan Ltd/Ireland,Specialty & Generic Pharma,United States
AGN US Equity,2017,ALLERGAN LTD/IRELAND,-87.3609,-86.5681,-2.5208,AGN     US,231.056,118992797696,3426799936,7.67,Allergan Ltd/Ireland,Specialty & Generic Pharma,United States
AGN US Equity,2018,ALLERGAN LTD/IRELAND,-81.3184,-79.9084,-2.1384,AGN     US,211.529,106542497792,5944000000,7.01,Allergan Ltd/Ireland,Specialty & Generic Pharma,United States
AGN US Equity,2019,ALLERGAN LTD/IRELAND,91.7056,NA,13.2785,AGN     US,186,94408900608,6725299968,NA,Allergan Ltd/Ireland,Specialty & Generic Pharma,United States
AIG US Equity,2014,AMERICAN INTERNATIONAL GROUP,2.7328,28.6148,1.2083,AIG     US,61.65,527189999616,6273999936,7.07,American International Group I,P&C Insurance,United States
AIG US Equity,2015,AMERICAN INTERNATIONAL GROUP,36.044,130.9606,5.2988,AIG     US,68.111,501984985088,2883999936,7.4,American International Group I,P&C Insurance,United States
AIG US Equity,2016,AMERICAN INTERNATIONAL GROUP,-65.8297,0,-1.5952,AIG     US,64.938,514567995392,2967000000,6.82,American International Group I,P&C Insurance,United States
AIG US Equity,2017,AMERICAN INTERNATIONAL GROUP,-1.4569,NA,0.1754,AIG     US,67.2,503073013760,-8565000064,6.71,American International Group I,P&C Insurance,United States
AIG US Equity,2018,AMERICAN INTERNATIONAL GROUP,-87.3693,-86.7368,-2.3146,AIG     US,57.312,504859983872,572000000,7.48,American International Group I,P&C Insurance,United States
AIG US Equity,2019,AMERICAN INTERNATIONAL GROUP,24.59,24.5215,1.2986,AIG     US,60.562,525122011136,-690000000,7.02,American International Group I,P&C Insurance,United States
AIG US Equity,2020,AMERICAN INTERNATIONAL GROUP,389.244,388.6303,10.8046,AIG     US,39.125,577230012416,2078999936,7.01,American International Group I,P&C Insurance,United States
AIV US Equity,2014,APARTMENT INVT & MGMT CO -A,235.9231,NA,11.4418,AIV     US,35.662,5937462784,-31871000,6.15,Apartment Investment and Manag,Residential REIT,United States
AIV US Equity,2015,APARTMENT INVT & MGMT CO -A,-25.8781,-26.6666,-1.1648,AIV     US,42.375,6217661952,-21206000,6.72,Apartment Investment and Manag,Residential REIT,United States
AIV US Equity,2016,APARTMENT INVT & MGMT CO -A,101.0943,0,0.4523,AIV     US,46.7,6293847040,28975000,6.28,Apartment Investment and Manag,Residential REIT,United States
AIV US Equity,2017,APARTMENT INVT & MGMT CO -A,9.4025,9.3977,0.6024,AIV     US,47.538,6169337856,32348000,6.95,Apartment Investment and Manag,Residential REIT,United States
AIV US Equity,2018,APARTMENT INVT & MGMT CO -A,22.5888,38.8318,1.7383,AIV     US,45.538,6185020928,-165320000,6.81,Apartment Investment and Manag,Residential REIT,United States
AIV US Equity,2019,APARTMENT INVT & MGMT CO -A,4.8797,NA,0.3299,AIV     US,54.679,6539177984,-169431000,6.79,Apartment Investment and Manag,Residential REIT,United States
